country,province,region,ethnic_group,confederation,tribe,clan,sub_clan,language,iso_639_3,note
Afghanistan,Jowzjan,North,Turkmen,,Turkmen,Ersari,,Turkmen,tuk,
Afghanistan,Jowzjan,North,Turkmen,,Turkmen,Salor,,Turkmen,tuk,
Afghanistan,Jowzjan,North,Arab,,Arab,Jowzjan Arab,,Tajiki Arabic,abh,
Afghanistan,Jowzjan,North,Tajik,,Tajik,,,Dari,prs,
Afghanistan,Jowzjan,North,Pashtun,Ghilji,Ghilji,,,Central Pashto,pst,
Afghanistan,Faryab,North-West,Uzbek,,Uzbek,Ming,,Southern Uzbek,uzs,
Afghanistan,Faryab,North-West,Turkmen,,Turkmen,Ersari,,Turkmen,tuk,
Afghanistan,Faryab,North-West,Turkmen,,Turkmen,Saryk,,Turkmen,tuk,
Afghanistan,Faryab,North-West,Turkmen,,Turkmen,Alili,,Turkmen,tuk,
Afghanistan,Faryab,North-West,Tajik,,Tajik,,,Dari,prs,
Afghanistan,Faryab,North-West,Pashtun,Ghilji,Ghilji,,,Central Pashto,pst,
Afghanistan,Faryab,North-West,Aimaq,,Aimaq,,,Aimaq,aiq,
Afghanistan,Faryab,North-West,Arab,,Arab,,,Dari,prs,
Afghanistan,Sar-e-Pol,North,Uzbek,,Uzbek,,,Southern Uzbek,uzs,
Afghanistan,Sar-e-Pol,North,Hazara,,Hazara,,,Hazaragi,haz,
Afghanistan,Sar-e-Pol,North,Tajik,,Tajik,,,Dari,prs,
Afghanistan,Sar-e-Pol,North,Aimaq,,Aimaq,,,Aimaq,aiq,
Afghanistan,Sar-e-Pol,North,Arab,,Arab,,,Dari,prs,
